mirId	Family/Cluster	Cancer	Profile	PubMed Article
hsa-let-7b	let-7	lung cancer	down	Reduced expression of the let-7 microRNAs in human lung cancers in association with shortened postoperative survival.
hsa-let-7b	let-7	lung cancer	down	Reduced expression of Dicer associated with poor prognosis in lung cancer patients.
hsa-let-7b	let-7	lung cancer	down	Let-7a elevates p21(WAF1) levels by targeting of NIRF and suppresses the growth of A549 lung cancer cells.
hsa-let-7c	let-7	lung cancer	down	Reduced expression of the let-7 microRNAs in human lung cancers in association with shortened postoperative survival.
hsa-let-7c	let-7	lung cancer	down	Reduced expression of Dicer associated with poor prognosis in lung cancer patients.
hsa-let-7c	let-7	lung cancer	down	Let-7a elevates p21(WAF1) levels by targeting of NIRF and suppresses the growth of A549 lung cancer cells.
hsa-let-7d	let-7	lung cancer	down	Reduced expression of the let-7 microRNAs in human lung cancers in association with shortened postoperative survival.
hsa-let-7d	let-7	lung cancer	down	Reduced expression of Dicer associated with poor prognosis in lung cancer patients.
hsa-let-7d	let-7	lung cancer	down	Let-7a elevates p21(WAF1) levels by targeting of NIRF and suppresses the growth of A549 lung cancer cells.
hsa-let-7e	let-7	lung cancer	down	Reduced expression of the let-7 microRNAs in human lung cancers in association with shortened postoperative survival.
hsa-let-7e	let-7	lung cancer	down	Reduced expression of Dicer associated with poor prognosis in lung cancer patients.
hsa-let-7e	let-7	lung cancer	down	Let-7a elevates p21(WAF1) levels by targeting of NIRF and suppresses the growth of A549 lung cancer cells.
hsa-let-7g	let-7	lung cancer	down	Reduced expression of the let-7 microRNAs in human lung cancers in association with shortened postoperative survival.
hsa-let-7g	let-7	lung cancer	down	Reduced expression of Dicer associated with poor prognosis in lung cancer patients.
hsa-let-7g	let-7	lung cancer	down	Let-7a elevates p21(WAF1) levels by targeting of NIRF and suppresses the growth of A549 lung cancer cells.
hsa-let-7i	let-7	lung cancer	down	Reduced expression of the let-7 microRNAs in human lung cancers in association with shortened postoperative survival.
hsa-let-7i	let-7	lung cancer	down	Reduced expression of Dicer associated with poor prognosis in lung cancer patients.
hsa-let-7i	let-7	lung cancer	down	Let-7a elevates p21(WAF1) levels by targeting of NIRF and suppresses the growth of A549 lung cancer cells.
hsa-miR-1		lung cancer	down	Down-regulation of micro-RNA-1 (miR-1) in lung cancer. Suppression of tumorigenic property of lung cancer cells and their sensitization to doxorubicin-induced apoptosis by miR-1.
hsa-miR-101		lung cancer	down	microRNA-101 inhibits lung cancer invasion through the regulation of enhancer of zeste homolog 2.
hsa-miR-10b		lung cancer	up	microRNA miR-10b inhibition reduces cell proliferation and promotes apoptosis in non-small cell lung cancer (NSCLC) cells.
hsa-miR-133b		lung cancer	down	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-135a		lung cancer	down	MiR-135a inhibits migration and invasion and regulates EMT-related marker genes by targeting KLF8 in lung cancer cells.
hsa-miR-135b		lung cancer	up	MicroRNA-135b promotes lung cancer metastasis by regulating multiple targets in the Hippo pathway and LZTS1.
hsa-miR-137		lung cancer	down	Silencing of miR-137 by aberrant promoter hypermethylation in surgically resected lung cancer.
hsa-miR-138		lung cancer	down	Up-regulation of microRNA-138 induce radiosensitization in lung cancer cells.
hsa-miR-141	mir-200	lung cancer	up	MicroRNA-200 promotes lung cancer cell growth through FOG2-independent AKT activation.
hsa-miR-142-5p		lung cancer	down	Uncovering growth-suppressive MicroRNAs in lung cancer.
hsa-miR-144		lung cancer	down	MiR-144 Inhibits Proliferation and Induces Apoptosis and Autophagy in Lung Cancer Cells by Targeting TIGAR.
hsa-miR-145		lung cancer	down	Uncovering growth-suppressive MicroRNAs in lung cancer.
hsa-miR-145		lung cancer	down	MicroRNA-145 inhibits lung cancer cell metastasis.
hsa-miR-145		lung cancer	down	MicroRNA-145 inhibits migration and invasion by down-regulating FSCN1 in lung cancer.
hsa-miR-1469		lung cancer	down	MiRNA-1469 promotes lung cancer cells apoptosis through targeting STAT5a.
hsa-miR-146a		lung cancer	down	Regulation of COX-2 expression by miR-146a in lung cancer cells.
hsa-miR-150		lung cancer	up	miR-150 promotes the proliferation and migration of lung cancer cells by targeting SRC kinase signalling inhibitor 1.
hsa-miR-153		lung cancer	down	Suppression of AKT expression by miR-153 produced anti-tumor activity in lung cancer.
hsa-miR-155		lung cancer	up	Inhibition of hypoxia-induced miR-155 radiosensitizes hypoxic lung cancer cells.
hsa-miR-155		lung cancer	up	MiR-155 inhibits the sensitivity of lung cancer cells to cisplatin via negative regulation of Apaf-1 expression.
hsa-miR-155		lung cancer	up	Differential MicroRNAs Expression in Serum of Patients with Lung Cancer, Pulmonary Tuberculosis, and Pneumonia.
hsa-miR-15a	mir-15	lung cancer	down	Histone deacetylases inhibitor trichostatin A increases the expression of Dleu2/miR-15a/16-1 via HDAC3 in non-small cell lung cancer.
